,tamcel,nodos,grado,smallworldness,beta,mean-sw,stdev-sw,sw-min,sw-max,swdiff,absswdiff
136,36,1669,5.73517076093,97.3503039723,0.7,4.95368148414,0.580114639068,3.84520270055,5.87942064588,92.3966224881,92.3966224881
137,36,1669,5.73517076093,97.3503039723,0.8,2.11617237978,0.320911661717,1.6623214149,2.86020694384,95.2341315925,95.2341315925
138,36,1669,5.73517076093,97.3503039723,0.9,0.89384371823,0.137237491832,0.62317864447,1.22052554046,96.456460254,96.456460254
139,36,1669,5.73517076093,97.3503039723,1.0,0.798297007175,0.163645578011,0.524607943647,1.08511997621,96.5520069651,96.5520069651
140,38,1581,6.05439595193,82.7236977342,0.1,72.1559509308,0.402070179203,71.3889980482,73.0966688646,10.5677468035,10.5677468035
141,38,1581,6.05439595193,82.7236977342,0.2,62.5169804992,1.07684586245,60.468445681,64.3452345748,20.206717235,20.206717235
142,38,1581,6.05439595193,82.7236977342,0.3,45.6905386795,1.39909284137,43.9048941966,48.5092603038,37.0331590547,37.0331590547
143,38,1581,6.05439595193,82.7236977342,0.4,31.5998257253,1.8381441577,27.9019032893,34.8844673869,51.1238720089,51.1238720089
144,38,1581,6.05439595193,82.7236977342,0.5,18.9116379574,1.07867409168,17.1047351052,21.9467414907,63.8120597768,63.8120597768
145,38,1581,6.05439595193,82.7236977342,0.6,10.0781492957,0.635920918454,8.90883216631,11.1026572334,72.6455484386,72.6455484386
146,38,1581,6.05439595193,82.7236977342,0.7,4.67270029988,0.403448539929,4.04492402916,5.49615112898,78.0509974344,78.0509974344
147,38,1581,6.05439595193,82.7236977342,0.8,1.97941713979,0.261392907047,1.57491051148,2.4774410221,80.7442805945,80.7442805945
148,38,1581,6.05439595193,82.7236977342,0.9,0.962741315618,0.163377778949,0.634457278613,1.26076311092,81.7609564186,81.7609564186
149,38,1581,6.05439595193,82.7236977342,1.0,0.784399246643,0.123034508562,0.605700945831,1.00583025186,81.9392984876,81.9392984876
150,40,1460,6.81643835616,56.9358275035,0.1,66.6461903449,0.323576548086,65.7470718372,67.3266432315,-9.71036284145,9.71036284145
151,40,1460,6.81643835616,56.9358275035,0.2,57.5082934696,1.03242743427,55.3236237296,59.3671972831,-0.572465966159,0.572465966159
152,40,1460,6.81643835616,56.9358275035,0.3,42.8259132305,1.09047505559,41.0418154213,44.1398362411,14.109914273,14.109914273
153,40,1460,6.81643835616,56.9358275035,0.4,28.3705988956,0.923677075048,26.6055316356,29.8854506944,28.5652286079,28.5652286079
154,40,1460,6.81643835616,56.9358275035,0.5,17.4469668593,1.12421386112,14.7622754556,19.6227592565,39.4888606442,39.4888606442
155,40,1460,6.81643835616,56.9358275035,0.6,9.67672177825,0.938140481944,7.86704973029,11.2220077053,47.2591057252,47.2591057252
156,40,1460,6.81643835616,56.9358275035,0.7,4.48522670828,0.41147414842,3.78500102568,5.63919746575,52.4506007952,52.4506007952
157,40,1460,6.81643835616,56.9358275035,0.8,1.81710333664,0.25562527201,1.29712973246,2.2456991313,55.1187241668,55.1187241668
158,40,1460,6.81643835616,56.9358275035,0.9,0.857586971743,0.174892374695,0.408462057123,1.2089192483,56.0782405317,56.0782405317
159,40,1460,6.81643835616,56.9358275035,1.0,0.740166121597,0.162616810405,0.466904313647,0.976836178469,56.1956613819,56.1956613819
160,42,1384,6.74710982659,58.3796884422,0.1,63.4065139124,0.466271287991,62.9159617994,64.6821066045,-5.02682547023,5.02682547023
161,42,1384,6.74710982659,58.3796884422,0.2,54.8805622892,0.890076051482,52.9813096851,56.5618697526,3.49912615302,3.49912615302
162,42,1384,6.74710982659,58.3796884422,0.3,40.3693361117,1.46442485265,38.4144627935,44.5713641165,18.0103523305,18.0103523305
163,42,1384,6.74710982659,58.3796884422,0.4,27.3974364651,0.953725031564,25.1919460945,28.7975849587,30.982251977,30.982251977
164,42,1384,6.74710982659,58.3796884422,0.5,16.5182286505,1.02739828992,14.955448643,18.3978650426,41.8614597916,41.8614597916
165,42,1384,6.74710982659,58.3796884422,0.6,8.83835720769,0.588452438441,7.69692686714,9.95789241315,49.5413312345,49.5413312345
166,42,1384,6.74710982659,58.3796884422,0.7,4.21353844327,0.558121108215,3.19185970701,5.57379936248,54.1661499989,54.1661499989
167,42,1384,6.74710982659,58.3796884422,0.8,1.78567847018,0.28751603456,1.20965088294,2.36070069807,56.594009972,56.594009972
168,42,1384,6.74710982659,58.3796884422,0.9,0.924483887197,0.149050761116,0.628730761865,1.1615602944,57.455204555,57.455204555
169,42,1384,6.74710982659,58.3796884422,1.0,0.832537663894,0.186998662471,0.376554962485,1.2445969479,57.5471507783,57.5471507783
170,44,1287,6.89976689977,61.1304758193,0.1,58.9323877625,0.55645002047,57.8551660936,59.8502735584,2.19808805679,2.19808805679
171,44,1287,6.89976689977,61.1304758193,0.2,51.1556835982,0.837973145975,49.2115769238,52.6672204094,9.97479222107,9.97479222107
172,44,1287,6.89976689977,61.1304758193,0.3,37.67053634,1.24274085524,35.6588375338,39.3788105225,23.4599394793,23.4599394793
